Gene	Fold_Change
A1BG	0.173105236794845
A1BG-AS1	0.0944457169485346
A1CF	0.388810461125045
A2M	3.45634289075861
A2M-AS1	0.53452444357028
A2ML1	3.18553346470023
A3GALT2	0.930505876456868
A4GALT	0.776709962040854
AAAS	1.98999613771824
AACS	0.202721287218713
AADAT	0.823713416158794
AAGAB	0.681119206059913
AAK1	0.108425474072834
AAMDC	1.11230108235936
AAMP	0.884075977007224
AANAT	0.557410914896494
AAR2	2.54919625671963
AARD	0.00191666198121596
AARS1	0.468766866345187
AARS2	0.956330900861838
AARSD1	1.12156916969006
AARSD1P1	1.1127478513146
AASDH	1.01646912575144
AASDHPPT	0.497726156117881
AASS	1.4885921394001
AATBC	1.52880813687958
AATF	1.04227528606189
AATK	0.0100816774828789
ABALON	3.02531886477776
ABAT	1.20688549852271
ABCA1	2.9974511481399
ABCA10	0.386721352810044
ABCA12	1.84877972715873
ABCA13	15.8972750141924
ABCA2	0.0542458398329315
ABCA3	0.42336927454964
ABCA4	0.547188051206928
ABCA5	0.275621870574849
ABCA6	0.217192176572199
ABCA7	1.22172997535795
ABCA8	0.0724454731771438
ABCA9	0.243268014945589
ABCB1	0.937472817520023
ABCB10	0.924759472576626
ABCB11	10.7267843483891
ABCB4	5.0296520312378
ABCB5	1.62154505550377
ABCB6	1.24849351416797
ABCB7	1.67713326500225
ABCB8	1.36791087443506
ABCB9	0.299735907259431
ABCC1	0.803853279171185
ABCC10	0.801839190697143
ABCC11	0.516650670058787
ABCC12	0.000592182992435321
ABCC2	0.705003441398886
ABCC3	8.41581964542031
ABCC4	1.87187796654498
ABCC5	0.498248171507691
ABCC5-AS1	1
ABCC6	3.62755153608422
ABCC8	0.0909039966249598
ABCC9	1.21550661084873
ABCD1	1.51802307980176
ABCD2	0.990482850938624
ABCD3	2.15249829341127
ABCD4	1.85196433883343
ABCE1	1.02949858334175
ABCF1	0.994088905127466
ABCF2	1.24717555607794
ABCF2P1	2.06860886051343
ABCF3	0.566880284414603
ABCG1	0.397369590210215
ABCG2	2.95927007497278
ABCG4	0.0403158141100334
ABCG5	0.257532590659637
ABCG8	0.0312462538459149
ABHD1	1.38725080534268
ABHD10	0.867062202891223
ABHD11	1.46030967212318
ABHD12	0.706049006911112
ABHD12B	0.215598292996023
ABHD13	0.727879939961943
ABHD14A	0.578611390895486
ABHD14B	2.57444445400128
ABHD15	1.69896965578315
ABHD16A	0.675815346449466
ABHD17A	1.09794712643681
ABHD17B	0.397456093127588
ABHD17C	2.09131023495275
ABHD18	1.0466946431295
ABHD2	0.611529513994528
ABHD3	2.28633513006974
ABHD4	5.41564809589004
ABHD5	1.58862046792696
ABHD6	0.4150876495543
ABHD8	0.58297410084623
ABI1	0.536983435550882
ABI2	0.627238645996694
ABI3	3.06387132220854
ABI3BP	1.81272495207523
ABITRAM	1.47673106971845
ABL1	0.88737195066548
ABL2	0.345599356639216
ABLIM1	0.53787747197676
ABLIM2	0.19079213695967
ABLIM3	0.47878917643015
ABO	0.51537016433598
ABR	0.168677978496491
ABRA	0.011158383935991
ABRACL	1.11002730119586
ABRAXAS1	1.27527028973675
ABRAXAS2	0.6672476434235
ABT1	1.27109501846229
ABTB1	0.35414141629755
ABTB2	0.283641827850011
ABTB3	0.156825299100552
ACAA1	1.20029559762814
ACAA2	1.91070777159394
ACAA2P1	1.37044153468894
ACACA	0.5584226923032
ACACB	0.304401623297468
ACAD10	1.51160582805369
ACAD11	0.840342601572822
ACAD8	1.4118755753876
ACAD9	0.853283001010946
ACAD9-DT	1.18263136863109
ACADL	2.28418273973326
ACADM	1.12654292460779
ACADS	1.04244250074401
ACADSB	0.262466857440808
ACADVL	1.16833355061327
ACAN	0.361981189662994
ACAP1	0.805371959664746
ACAP2	1.10702992359057
ACAP3	0.645462869944729
ACAT1	0.928765101651177
ACAT2	0.877012411122258
